Language	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Files	Depth
Sundanese	su	59,871	93,374	596,720	8	23,597	70	547	2
Haitian	ht	58,022	70,976	739,879	2	22,754	42	0	1
Luxembourgish	lb	57,870	124,435	2,259,829	5	46,447	84	2,461	24
Javanese	jv	57,308	153,966	1,509,383	6	43,086	116	5,446	28
Scots	sco	56,630	204,967	741,796	5	68,161	109	1,662	25
Marathi	mr	56,560	231,718	1,739,343	9	119,285	414	19,181	72
Swahili	sw	56,008	116,298	1,100,060	11	40,955	125	2,230	11
Western Punjabi	pnb	52,667	85,920	547,254	3	25,105	45	238	3
Irish	ga	52,255	85,176	953,602	8	42,387	108	1,169	4
Silesian	szl	51,962	63,617	329,180	3	17,252	29	0	0
Bashkir	ba	51,196	144,541	936,143	8	27,251	81	1,391	22
Icelandic	is	49,160	130,236	1,661,319	28	72,096	130	3,060	35
Burmese	my	45,429	119,848	505,802	5	76,714	175	2,850	11
West Frisian	fy	43,552	132,802	984,299	9	35,928	64	7,009	31
Chuvash	cv	42,723	76,825	667,946	3	25,950	33	536	6
Lombard	lmo	39,377	101,617	996,104	6	28,874	46	4,436	24
Aragonese	an	36,826	112,859	1,649,107	6	56,200	78	1,287	62
Nepali	ne	34,029	95,078	770,794	8	46,790	111	1,056	26
Punjabi	pa	33,952	116,967	508,768	9	31,974	109	1,413	26
Yoruba	yo	32,346	55,713	525,386	3	20,046	70	172	5
Bavarian	bar	30,996	111,443	742,423	7	51,274	60	1,341	45
Wu	wuu	29,314	41,610	265,779	4	64,320	45	231	1
Ido	io	29,265	43,771	954,432	5	28,130	35	1	5
Gujarati	gu	28,901	99,168	695,797	3	55,627	77	0	41
Alemannic	als	27,055	65,499	959,427	9	75,570	83	503	30
Kurdish	ku	26,902	66,153	749,251	4	40,832	79	580	24
Sicilian	scn	26,077	55,288	726,776	7	34,725	43	1,408	16
Kannada	kn	25,827	114,429	975,396	5	61,912	251	3,509	100
Sorani	ckb	25,554	134,281	665,742	7	39,179	117	972	90
Bishnupriya Manipuri	bpy	25,095	58,526	782,626	2	20,318	32	49	24
Interlingua	ia	22,109	35,294	619,642	7	36,978	28	4	6
